generator_time	making_samples_time	update_network_time	test_evaluation_times	all_times
95.77199482917786	4.841449975967407	8.348469972610474	27.94405460357666	136.98160314559937
90.9206473827362	4.564327001571655	13.74450159072876	31.270313024520874	140.56856679916382
87.14806771278381	4.618386745452881	20.162898778915405	52.421008825302124	164.41810774803162
89.87567043304443	4.544046640396118	26.42666220664978	71.63381552696228	192.54709887504578
94.48347067832947	4.684553861618042	27.111511945724487	84.41626286506653	210.77295780181885
93.88796472549438	4.195111989974976	25.24313497543335	90.99800038337708	214.40056443214417
94.441819190979	4.655566930770874	31.150375843048096	103.05673003196716	233.41832971572876
105.50512313842773	4.843238592147827	38.95321798324585	90.8321328163147	240.20559787750244
95.09327578544617	4.949539422988892	39.51087498664856	77.27983045578003	216.91730403900146
85.76646423339844	4.206255197525024	44.21733832359314	88.97420263290405	223.23997616767883
96.32374334335327	3.962226629257202	44.707895040512085	106.51669335365295	251.58274149894714
100.41079425811768	4.8980872631073	48.27409553527832	111.18048310279846	264.87361884117126
103.87864446640015	4.976005554199219	51.33185935020447	114.3538556098938	274.61531376838684
106.66693472862244	4.01125693321228	55.94663143157959	110.41309309005737	277.1185200214386
104.36959099769592	3.998023509979248	58.7935471534729	111.32961559295654	278.5988280773163
106.24936747550964	4.30761194229126	66.45581388473511	118.58446288108826	295.69673204421997
107.81195950508118	5.161795139312744	69.43924522399902	134.70954823493958	317.1965732574463
121.0816297531128	4.083047389984131	73.55933713912964	145.6219997406006	344.42925810813904
130.6235067844391	4.074147701263428	81.75680446624756	151.54777073860168	368.0773847103119
130.69547200202942	4.033085107803345	80.21713304519653	155.13612532615662	370.16061997413635
136.34009313583374	4.074114561080933	85.11166024208069	156.58517026901245	382.18786120414734
138.42292833328247	4.07056736946106	90.14288401603699	161.68629956245422	394.40531969070435
145.35977053642273	4.280135154724121	97.95671033859253	167.41260313987732	415.0854206085205
147.66235160827637	4.029255628585815	99.11566281318665	162.56791281700134	413.45639204978943
142.46876978874207	4.057882308959961	105.37265872955322	160.00215482711792	411.977587223053
136.9315345287323	6.185359477996826	106.86599516868591	164.56201672554016	414.6229507923126
146.5638246536255	4.409976243972778	115.30149841308594	169.0530436038971	435.4060056209564
146.76812410354614	4.141754388809204	125.83808016777039	165.81567859649658	442.640905380249
144.4993007183075	4.108204364776611	125.26658725738525	175.1302673816681	449.08600997924805
