round,avg_travel_time_mean,avg_travel_time_std,throughput_mean,throughput_std,avg_waiting_time_mean,avg_waiting_time_std,avg_queue_length_mean,avg_queue_length_std,unfinished_mean,unfinished_std
0,587.4344832816303,80.25877138799699,2498.2,245.72077649234296,451.8037518888892,172.91875447617556,,,282.0,59.07198997833068
1,563.1235606276773,68.10564704467997,2536.0,193.3222697983862,461.33911697027287,156.66156087188787,14.736215277777779,3.0029892850937614,260.6,71.02323563454428
2,679.0068969655638,52.771831064650115,2319.2,200.67560888159784,680.0166421225268,170.7177926862554,20.146979166666664,2.1148373155546834,362.8,58.199656356373794
3,530.2157571335882,29.026900135126056,2678.8,146.3769107475629,346.73701339106134,272.461392188303,13.403194444444443,1.423828455631089,199.4,43.43155534861721
4,442.961002541119,90.66700504857015,2853.0,79.22752047110903,105.14122270355674,64.42674444123128,9.054166666666665,4.424760283752424,116.0,65.43699259593154
5,529.3307271499455,152.38994606005863,2586.6,297.1444093366053,537.1044742816574,413.2815916060034,13.390590277777779,7.1375341170017395,226.2,138.3607603332679
6,493.52977006091567,87.27687761876193,2684.0,217.17849801488177,315.8230996522243,260.968023849842,11.6896875,4.320048291529929,194.8,99.05907328458106
7,519.0652729384927,113.48696996482165,2692.4,186.15531150090777,401.16163425340244,365.3080184272782,12.747256944444443,5.547935653515878,193.8,90.74800273284256
8,541.7594944954456,45.177988303212786,2677.8,121.6046874096554,360.3617074465028,159.82910147580228,13.878402777777776,2.129068989065328,228.4,49.23210334730785
9,469.69350931217406,58.78921982732211,2765.6,107.28606619687385,285.8051575583529,158.34746618518724,10.399131944444445,2.586260761283917,158.4,42.24689337690997
10,497.7430614266015,135.0908016795302,2666.2,276.87126972656444,490.4261358036089,357.7882145844795,11.797777777777778,6.219898511016146,189.2,128.080833851127
11,437.48136836349676,105.15946350943915,2752.6,209.63849837279406,298.6478631065157,323.4152196159037,8.805520833333333,4.955895436125427,141.2,87.65101254406592
12,418.4386059221462,75.35281507511344,2775.8,234.74177301877913,295.8567657721073,349.94763089989107,8.001527777777778,3.769982163948929,130.6,95.14357571586218
13,381.1379590672853,38.92790390731567,2889.0,39.05764969887466,94.45063611490411,46.51590428089453,6.064652777777779,1.6276544325571438,91.8,34.92420364160076
14,359.3902111967817,22.955066683700544,2913.8,19.728152473052337,70.81452873042858,21.937315898205906,5.055104166666667,0.9558847543403166,69.2,19.728152473052308
15,358.60778720216257,29.102299036427308,2902.0,24.052026941611356,80.74927353069057,21.68632591925583,5.070381944444445,1.2376843664784931,79.8,21.58008341040414
16,346.49084813945694,24.291377869356044,2913.0,11.269427669584644,77.1866729354918,15.852483093308788,4.562395833333333,1.0157258126010513,70.0,11.269427669584644
17,335.62822661749914,14.47452135645304,2920.0,1.8708286933869935,58.39873296219129,2.9726794589358407,3.9682986111111114,0.5006169575674493,63.0,1.870828693386971
18,335.03781428092526,18.035051448985392,2917.6,10.478549517943762,53.5212506114274,8.014612508217036,3.909652777777778,0.7629731391521647,65.4,10.478549517943788
19,332.58900435802883,16.166405595507143,2920.6,6.985699678629214,58.42940842659281,9.434066284227152,3.8429166666666665,0.7150985966745119,62.4,6.985699678629192
20,355.6587642829139,41.76050745691606,2857.2,102.06958410809756,175.20129230620805,228.87700853553253,5.077638888888889,2.1337680387883196,95.6,40.93042877859943
21,362.6248325767992,52.75401221395496,2850.2,124.31090056789061,174.4825583544187,220.87398359220663,5.399687499999999,2.6826669814509376,101.0,60.170590823092304
22,361.2046080883937,69.75479751265438,2884.0,83.34266614405853,75.1566731558698,46.990950959072116,5.172326388888889,3.352599450367514,94.2,72.61680246334178
23,363.7505362602848,70.63005788686372,2858.6,138.44421259120944,117.33239933083823,135.8065185332328,5.32576388888889,3.382023109059029,94.0,70.49822692805827
24,359.6411666107945,43.848342317915844,2914.8,17.253985046939146,60.347519129708076,14.048996737255123,5.0252430555555545,1.9875201150080783,68.2,17.253985046939157
25,356.15583480973976,38.94653502877831,2898.6,52.07494599133059,93.82296194715124,90.68871540402269,4.930868055555555,1.8138854425854194,81.6,45.856297277473246
26,356.3639289306068,34.62958828374696,2884.0,54.881690936049026,115.9929441149734,80.382837171864,5.089236111111111,1.7589994492265875,99.0,54.881690936048976
27,350.72359044175994,53.64263492421993,2861.2,131.016029553639,173.24597991355054,249.7947814303672,4.797326388888889,2.6794562436206393,81.2,40.44378815096331
28,323.14368085819643,8.306328671623822,2920.4,2.6076809620810835,55.4250278636575,8.093588963089717,3.4264583333333336,0.43173426315552726,62.6,2.6076809620810595
29,319.19691585652026,7.900571877114809,2921.8,4.438468204234454,56.4521614585117,4.0420006212637904,3.248368055555556,0.39281357576436193,61.2,4.438468204234429
