generator_time	making_samples_time	update_network_time	test_evaluation_times	all_times
112.41276407241821	10.068071603775024	6.186626195907593	27.677597284317017	156.34924244880676
123.08225798606873	7.933171033859253	17.462660789489746	42.72833037376404	191.2094190120697
118.52380466461182	7.3798747062683105	17.956411838531494	106.23182821273804	250.09577751159668
122.87830448150635	9.05855417251587	19.949642658233643	86.06182885169983	237.95173001289368
121.32001256942749	7.513383626937866	20.998127937316895	105.08445596694946	254.9186737537384
122.3556067943573	8.53994369506836	24.219841957092285	130.56197452545166	285.68216609954834
121.88024854660034	6.909016132354736	26.96309804916382	126.72039151191711	282.4765865802765
132.71106600761414	6.906728744506836	27.983872175216675	121.83559489250183	289.44017815589905
148.9480757713318	7.078327894210815	27.717347621917725	136.62520551681519	320.37873888015747
155.59106040000916	7.502935409545898	30.82840585708618	117.27573466300964	311.2015211582184
