generator_time	making_samples_time	update_network_time	test_evaluation_times	all_times
127.67035484313965	6.354639291763306	6.18827748298645	43.17615842819214	183.4334614276886
131.6057267189026	6.690929651260376	10.466828346252441	43.03904938697815	191.84392976760864
124.96434688568115	7.362308025360107	16.416578769683838	56.45474815368652	205.24646139144897
127.8282961845398	6.409276247024536	16.47576332092285	91.61832332611084	242.3727743625641
127.09551811218262	6.366736888885498	18.070836067199707	122.12924289703369	273.7100284099579
131.14746928215027	6.430209159851074	21.61589217185974	135.37903022766113	294.61633944511414
135.12022995948792	6.031599521636963	24.150256872177124	149.5092921257019	314.85644721984863
138.00186204910278	6.437397241592407	25.8722722530365	139.09060287475586	309.4507851600647
139.5079493522644	6.362412929534912	27.72504448890686	102.99920988082886	276.63462686538696
119.34022831916809	6.715242147445679	29.523555994033813	116.13499474525452	271.76156973838806
118.57697677612305	6.497053623199463	32.103673458099365	125.75214529037476	282.9712383747101
126.8340334892273	6.031396865844727	34.22670388221741	142.46840953826904	309.6035237312317
135.06652998924255	6.472846508026123	37.28378248214722	143.08021020889282	321.9470660686493
137.44673228263855	6.569247484207153	40.84309768676758	128.11287593841553	313.0169286727905
127.24730372428894	5.8722734451293945	43.73864483833313	129.5418426990509	306.4441614151001
139.19556713104248	6.899054527282715	44.34435510635376	146.3835744857788	336.8661479949951
138.23352813720703	6.307948112487793	48.763567209243774	142.76076006889343	336.11023926734924
136.09689950942993	6.264888048171997	50.22774910926819	144.92104125022888	337.600111246109
134.3817310333252	6.380545139312744	54.790807485580444	146.23398542404175	341.8345730304718
135.3708107471466	6.160478830337524	58.540990114212036	147.66771912574768	347.78508949279785
131.42520380020142	6.467438220977783	65.25750708580017	156.21791172027588	359.41558361053467
142.84759402275085	6.691328048706055	63.880348920822144	156.8392674922943	370.305171251297
146.53056716918945	6.148049354553223	65.50521779060364	166.89567303657532	385.1260390281677
152.01786136627197	6.46503472328186	68.6751012802124	165.97702479362488	393.17698645591736
154.01807618141174	6.928067445755005	71.57135844230652	170.49064707756042	403.0547089576721
164.434467792511	6.260635614395142	78.45511388778687	178.6186821460724	427.81749296188354
167.78865027427673	6.644581317901611	80.08880400657654	181.61602091789246	436.1848990917206
166.29834699630737	7.140742540359497	79.7927074432373	193.109384059906	446.3846311569214
176.04317092895508	9.169992685317993	84.2882010936737	181.36415815353394	450.9084711074829
