round,avg_travel_time_mean,avg_travel_time_std,throughput_mean,throughput_std,avg_waiting_time_mean,avg_waiting_time_std,avg_queue_length_mean,avg_queue_length_std,unfinished_mean,unfinished_std
0,617.6528177873076,67.39290175036982,2459.6,206.34509928757694,494.09969473360314,173.63447716594862,,,304.8,70.4357863589241
1,571.4249432055806,56.6519731931284,2569.4,217.99954128392105,407.5940358089824,180.35150097627758,15.121944444444443,2.525929689790903,243.2,87.21639754082945
2,595.5914214938518,105.18282482802321,2506.8,257.89086839203907,480.2593308458621,254.32124696329944,16.30003472222222,4.895783406648009,285.4,101.1152807443069
3,532.094366048609,96.931155530266,2581.8,234.9599965951651,429.6218431035666,241.14930407054877,13.271875,4.487595660395209,221.4,107.57462526079281
4,589.661217151099,122.62201995718553,2476.0,253.49358966253962,539.5322563171868,302.90050009105255,16.255520833333335,5.915672763243209,296.8,120.90368067184721
5,558.7614178108568,129.71798373993954,2585.6,214.5560532821202,487.8884131473884,276.02499344667353,14.638749999999998,6.181745827227066,232.0,90.32441530394757
6,472.3751636316898,53.000069769511164,2683.0,177.21173776022852,301.58459228157255,174.53228446247755,10.597951388888887,2.732409297851925,195.6,81.4634887541652
7,510.55860214814084,101.22249820935419,2641.4,194.75574445956659,463.79645411812197,266.1595026881219,12.903194444444443,5.4493190799815014,243.4,119.22583612623566
8,463.21913707655057,79.21122765203819,2754.4,133.90407013978327,281.02313842007777,216.5334887083303,10.1365625,3.8808804775319095,196.6,81.53097570862255
9,518.4370293743323,102.12395421957866,2655.2,195.7643992149747,461.6747019597586,275.93767804943093,12.840451388888889,5.026454980546935,240.0,107.67543823918248
10,456.6098079185912,73.15217554006949,2750.2,154.9151380595196,306.25560064666854,238.2835878611397,9.874826388888888,3.6659416185730604,169.6,88.61320443365086
11,397.0041325802659,48.12676005245093,2853.6,80.68952844080825,159.52032782271772,133.34976830441187,6.82670138888889,2.3211047354753105,121.6,70.55706910012631
12,393.07943767223304,41.641725785576874,2869.8,61.21846126782344,119.11253547209199,89.00227187048559,6.644930555555556,1.9435874010283039,106.6,47.63717036096918
13,341.91706335903456,9.616730664306527,2921.8,7.293833011524214,55.385520758635536,7.186961195504264,4.228888888888889,0.4325414933788496,61.2,7.293833011524187
14,354.8414117987736,38.35722144858494,2896.2,42.049970273473434,83.17316983756415,38.605813603200026,4.929305555555556,1.8427711440235208,82.0,32.264531609803356
15,346.08762990278245,20.043793160116675,2913.8,18.566098136118917,73.78721639181511,20.464198050300666,4.475520833333334,0.8904632443942263,69.2,18.566098136118963
16,393.218676260628,75.76683969345686,2811.0,132.00378782444085,315.3819522295031,329.3782641557926,7.045520833333333,4.0293464965500565,127.4,77.48096540441401
17,397.89052487419093,46.225665516314265,2818.6,105.94715663952479,296.2871316190002,247.92051670848463,7.29982638888889,2.4862451044838343,119.0,51.570340313013254
18,366.7442023883421,46.080897622744956,2832.0,121.02272513871104,226.2691207490363,276.52199793501774,5.654375,2.4128122555318385,107.2,53.606902540624375
19,364.3098893731143,60.59037329217485,2892.0,59.56928738872071,130.80124018842722,161.64775637844775,5.506979166666666,3.17237310314616,91.0,59.56928738872071
20,366.0658838768908,27.0196947425901,2871.8,98.33209038762476,160.69929544507397,215.84163820737274,5.532881944444445,1.3581662279074236,85.4,42.276470997470916
21,353.3008022569379,33.39612809518077,2877.4,99.80631242561762,152.49257968817292,219.61603645015072,4.920381944444444,1.6886044116552383,79.8,42.22203216331493
22,351.4852900605169,25.729870417524314,2873.2,87.35673986590851,177.2100980088298,194.47292384511172,4.917847222222222,1.4108115713169378,88.0,42.6790346657466
23,335.7971840429098,20.87508879568663,2915.6,9.208691546577123,59.395571387710206,8.752223967519388,4.026354166666667,0.9242755008444327,67.4,9.208691546577068
24,329.8714716728126,14.393819982364036,2918.2,6.7601775124622066,60.295274642541415,8.845936155175593,3.7287500000000002,0.6348874613012556,64.8,6.760177512462229
25,343.1727790814616,36.92473000861197,2897.8,36.403296554021004,89.08298093764338,45.58903919622517,4.425416666666667,1.7262610266589058,85.2,36.40329655402104
26,342.856039860345,47.195177057689115,2870.2,120.31708108161531,158.47896517420037,229.12284354084514,4.4719097222222235,2.394114612855821,79.4,45.659610160403254
27,344.6831346354188,29.676919170307123,2883.8,71.74398929527129,103.78783022657376,75.72270427680243,4.544930555555556,1.5361973128487327,82.4,36.86190445432791
28,327.9729131746564,9.427560904464665,2916.6,8.961026726887967,58.816613803087236,18.77963192996901,3.6723263888888886,0.5339168972855077,66.4,8.96102672688794
29,317.4014079785451,5.314373226385086,2926.0,2.5495097567963922,53.02022499825379,4.3780139772554225,3.159791666666667,0.24146243140955587,57.0,2.5495097567963922
